symbol,ipo_date,ipo_years,last_report,3yr_grow_rate,grow_rate,grow,share_grow,start_bvps,now_bvps,eps,roe,debt_ratio,cash_ratio,earn_ttm,assets,equity,shares,name
002241,2008-05-22,13.07,2021-03-31,0.141,0.277,41.75,21.6,3.65,7.055,1.141,0.144,0.508,0.129,38.997,490.003,241.018,34.163,歌尔股份
002242,2008-05-28,13.06,2020-12-31,0.051,0.074,2.908,2.85,5.47,5.582,1.194,0.235,0.531,0.188,9.163,91.348,42.825,7.672,九阳股份
002243,2008-05-28,13.06,2021-03-31,0.098,0.116,5.34,1.65,1.788,5.787,0.131,0.095,0.365,0.194,1.592,110.339,70.062,12.106,力合科创
002244,2008-05-29,13.05,2020-09-30,0.141,0.159,8.803,5.82,5.488,8.295,0.684,0.138,0.846,0.074,21.295,1672.329,258.088,31.114,滨江集团
002245,2008-06-05,13.04,2020-12-31,0.052,0.251,28.841,16.38,1.926,3.392,0.281,0.132,0.527,0.036,2.81,71.644,33.887,9.989,蔚蓝锂芯
002246,2008-06-05,13.04,2020-12-31,0.026,0.125,5.877,1.5,1.319,5.168,0.149,0.052,0.325,0.271,0.816,42.067,28.375,5.49,北化股份
002247,2008-06-12,13.02,2021-03-31,0.0,0.026,1.472,6.0,2.976,0.73,0.064,0.007,0.374,0.085,0.544,9.914,6.21,8.509,聚力文化
002248,2008-06-12,13.02,2021-03-31,0.0,0.0,0.292,2.0,1.224,0.179,0.061,-0.361,0.891,0.016,0.187,5.044,0.55,3.075,华东数控
002249,2008-06-19,13.0,2020-09-30,0.0,0.134,6.365,10.2,5.727,3.574,0.11,0.114,0.383,0.148,2.598,136.936,84.548,23.655,大洋电机
002250,2008-06-19,13.0,2020-12-31,0.057,0.182,12.299,5.56,2.97,6.573,0.145,0.133,0.417,0.047,1.336,104.084,60.682,9.232,联化科技
002251,2008-06-19,13.0,2020-12-31,0.044,0.223,20.498,4.5,1.932,8.795,0.138,0.137,0.691,0.021,1.195,245.511,75.983,8.639,步 步 高
002252,2008-06-23,12.99,2021-03-31,0.136,0.198,15.696,22.03,5.338,3.803,0.252,0.128,0.011,0.082,16.986,259.216,256.369,67.408,上海莱士
002253,2008-06-23,12.99,2021-03-31,0.031,0.132,6.674,3.46,3.439,6.641,0.09,0.047,0.155,0.062,0.203,17.726,14.984,2.256,川大智胜
002254,2008-06-25,12.98,2020-12-31,0.127,0.08,3.173,4.87,8.757,5.708,0.42,0.084,0.373,0.39,2.873,62.336,39.063,6.844,泰和新材
002255,2008-06-25,12.98,2020-12-31,0.0,0.0,0.88,4.0,15.53,3.415,0.943,0.086,0.428,0.058,7.944,50.318,28.766,8.423,海陆重工
002256,2008-06-25,12.98,2020-09-30,0.0,0.161,9.097,14.98,1.368,0.831,-0.055,0.061,0.42,0.019,-1.028,26.964,15.635,18.824,*ST兆新
002258,2008-07-08,12.95,2021-03-31,0.185,0.2,16.082,3.38,1.937,9.23,1.869,0.152,0.44,0.111,9.806,86.495,48.424,5.246,利尔化学
002259,2008-07-16,12.92,2020-12-31,0.0,0.0,0.204,2.52,1.138,0.092,0.206,0.002,0.935,0.087,1.551,10.562,0.69,7.523,*ST升达
002260,2008-07-16,12.92,2020-09-30,0.251,0.036,1.675,4.64,3.952,1.426,0.062,0.086,0.163,0.352,0.347,9.493,7.943,5.569,*ST德奥
002261,2008-07-23,12.9,2020-09-30,0.0,0.164,9.37,10.22,2.509,2.3,0.077,0.1,0.218,0.155,0.85,32.397,25.321,11.008,拓维信息
002262,2008-07-23,12.9,2021-03-31,0.186,0.209,18.093,8.4,1.968,4.241,0.66,0.18,0.148,0.262,6.649,50.149,42.73,10.077,恩华药业
002263,2008-07-28,12.89,2020-09-30,0.0,0.044,1.898,4.36,2.809,1.224,0.05,0.015,0.123,0.209,0.938,26.217,22.985,18.784,大东南
002264,2008-07-31,12.88,2021-03-31,0.0,0.128,6.28,4.5,1.145,1.598,0.47,0.076,0.767,0.11,3.217,46.853,10.937,6.846,新 华 都
002265,2008-08-06,12.87,2020-12-31,0.127,0.062,2.467,1.0,1.113,2.746,-0.188,-0.0,0.35,0.083,-0.6,13.451,8.749,3.186,西仪股份
002266,2008-08-06,12.87,2020-09-30,0.0,0.173,10.474,10.45,1.568,1.572,0.255,0.098,0.525,0.059,13.689,177.623,84.423,53.698,浙富控股
002267,2008-08-13,12.85,2020-12-31,0.04,0.171,10.671,2.0,1.079,5.757,0.34,0.164,0.519,0.087,3.779,133.191,64.026,11.121,陕天然气
002268,2008-08-11,12.85,2021-03-31,0.021,0.232,24.059,8.69,2.02,5.595,-0.366,-0.004,0.223,0.203,-3.098,60.973,47.352,8.463,卫 士 通
002269,2008-08-28,12.81,2020-09-30,0.0,0.046,1.932,4.5,1.237,0.531,-0.375,0.068,0.763,0.018,-9.41,56.275,13.337,25.125,美邦服饰
002270,2008-09-05,12.78,2020-12-31,0.202,0.02,1.348,1.95,41.932,28.982,3.251,0.089,0.356,0.101,2.934,40.637,26.16,0.903,华明装备
002271,2008-09-10,12.77,2021-03-31,0.432,0.338,85.245,30.6,3.534,9.845,0.492,0.14,0.373,0.25,11.547,368.875,231.142,23.477,东方雨虹
002272,2008-09-19,12.75,2021-03-31,0.055,0.095,3.98,3.3,2.762,3.331,0.164,0.056,0.504,0.031,0.704,28.892,14.321,4.3,川润股份
002273,2008-09-19,12.75,2021-03-31,0.149,0.243,27.654,12.85,2.308,4.966,0.329,0.132,0.161,0.167,4.003,72.048,60.47,12.177,水晶光电
002274,2008-09-25,12.73,2020-12-31,0.01,0.092,3.728,2.93,2.391,3.047,0.183,0.034,0.609,0.048,1.744,74.13,29.015,9.524,华昌化工
002275,2009-07-10,11.94,2020-09-30,0.057,0.017,1.259,1.3,5.228,5.062,0.689,0.179,0.19,0.196,4.067,36.898,29.876,5.902,桂林三金
002276,2009-07-10,11.94,2020-09-30,0.073,0.155,7.273,3.6,2.12,4.283,0.226,0.065,0.469,0.088,2.336,83.583,44.351,10.355,万马股份
